TournamentDate,TournamentFile,Round,MatchID,PlayerA,PlayerACode,PlayerB,PlayerBCode,PlayerA_PR,PlayerB_PR,PlayerA_Decisions,PlayerB_Decisions,WinnerName,WinnerCode,BetterPRName,BetterPRCode,BetterPRWon,PR_Difference_Abs,QualityStatus,QualityIssues
2023-07-02,20230702.csv,1,20230702_R1_AKO_SKO,Anthony Korn,AKO,Steeve Korn,SKO,6.74,,163.0,,,,Anthony Korn,AKO,,,Review,Pair row count = 1
2023-07-02,20230702.csv,1,20230702_R1_ACA_SKO,Antoine Canteloup,ACA,Steeve Korn,SKO,,7.33,,149.0,Steeve Korn,SKO,,,,,Review,Pair row count = 1
2023-07-02,20230702.csv,1,20230702_R1_AME_GME,Arthur Menez,AME,Géo Menez,GME,9.79,3.8,98.0,107.0,Géo Menez,GME,Géo Menez,GME,1.0,5.99,OK,
2023-07-02,20230702.csv,1,20230702_R1_DFR_GBO,David Freidenberg,DFR,Greg Boghossian,GBO,11.29,10.05,101.0,93.0,Greg Boghossian,GBO,Greg Boghossian,GBO,1.0,1.24,OK,
2023-07-02,20230702.csv,1,20230702_R1_KUB_NSE,Gildas Bouilland,KUB,Nicolas Sekri,NSE,3.26,8.09,97.0,95.0,Gildas Bouilland,KUB,Gildas Bouilland,KUB,1.0,4.83,OK,
2023-07-02,20230702.csv,1,20230702_R1_IGU_KKR,Ibrahima Guillard,IGU,Katalin Krajnyak,KKR,3.86,7.48,104.0,88.0,Ibrahima Guillard,IGU,Ibrahima Guillard,IGU,1.0,3.62,OK,
2023-07-02,20230702.csv,1,20230702_R1_JMA_WBE,James MacNaughtan,JMA,Wil Benotmane,WBE,4.5,8.09,109.0,102.0,James MacNaughtan,JMA,James MacNaughtan,JMA,1.0,3.59,OK,
2023-07-02,20230702.csv,2,20230702_R2_AKO_IGU,Anthony Korn,AKO,Ibrahima Guillard,IGU,6.41,,83.0,,Anthony Korn,AKO,Anthony Korn,AKO,1.0,,Review,Pair row count = 1
2023-07-02,20230702.csv,2,20230702_R2_ACA_IGU,Antoine Canteloup,ACA,Ibrahima Guillard,IGU,,7.17,,90.0,,,,,,,Review,Pair row count = 1
2023-07-02,20230702.csv,2,20230702_R2_AME_JMA,Arthur Menez,AME,James MacNaughtan,JMA,6.04,8.88,146.0,135.0,James MacNaughtan,JMA,Arthur Menez,AME,0.0,2.84,OK,
2023-07-02,20230702.csv,2,20230702_R2_DFR_WBE,David Freidenberg,DFR,Wil Benotmane,WBE,10.84,6.86,174.0,200.0,Wil Benotmane,WBE,Wil Benotmane,WBE,1.0,3.98,OK,
2023-07-02,20230702.csv,2,20230702_R2_GBO_KKR,Greg Boghossian,GBO,Katalin Krajnyak,KKR,10.38,17.48,156.0,144.0,Katalin Krajnyak,KKR,Greg Boghossian,GBO,0.0,7.1,OK,
