PlayerName,PlayerCode,TournamentsPlayed,MatchesPlayed,Wins,WinRate,AvgPR,BetterPRCount,BetterPRRate,TotalDecisions
Alain Babillon,ABA,4,18,7,0.389,5.567,12,0.667,2167.0
Anthony Korn,AKO,14,68,37,0.544,7.001,41,0.603,7713.0
Antoine Blond,,3,13,9,0.692,5.495,8,0.615,1442.0
Antoine Canteloup,ACA,2,8,3,0.375,13.0,1,0.125,1402.0
Arthur Menez,AME,4,20,8,0.4,7.716,7,0.35,2063.0
BYE,BYE,1,5,0,0.0,,0,0.0,0.0
Csaba Daday,CDA,10,46,24,0.522,7.311,27,0.587,4744.0
Daniel Rozenberg,DRO,9,41,27,0.659,6.146,28,0.683,4863.0
David Freidenberg,DFR,4,20,11,0.55,8.827,8,0.4,2013.0
Elias Baltassis,EBA,5,23,7,0.304,14.637,2,0.087,2543.0
Eric Bénichou,EBE,10,46,26,0.565,4.483,37,0.804,5285.0
Eric Guedj,EGU,3,15,11,0.733,4.4,13,0.867,1545.0
Eric Maillebiau,,1,5,3,0.6,4.96,3,0.6,440.0
Felipe Druy,FDR,2,9,1,0.111,11.222,1,0.111,1045.0
Franck Touboul,FTO,2,10,9,0.9,12.19,1,0.1,1130.0
François Tissot,FTI,4,20,13,0.65,5.068,15,0.75,2269.0
Gildas Bouilland,KUB,13,60,31,0.517,6.742,34,0.567,7220.0
Greg Boghossian,GBO,1,5,4,0.8,9.566,3,0.6,615.0
Géo Menez,GME,6,30,18,0.6,6.356,19,0.633,3030.0
Ibrahima Guillard,IGU,3,15,10,0.667,7.848,8,0.533,1482.0
James MacNaughtan,JMA,16,75,44,0.587,5.585,56,0.747,7746.0
Julien Camurat,JCA,1,5,0,0.0,13.896,1,0.2,443.0
Kamel Guerbaa,KGU,13,62,30,0.484,9.141,15,0.242,7238.0
Katalin Krajnyak,KKR,1,5,2,0.4,12.006,1,0.2,555.0
Kévin Unger,KUN,10,46,23,0.5,7.45,30,0.652,5361.0
Louis Schirvanian,LSC,1,5,1,0.2,13.052,0,0.0,462.0
Marc Le Campion,MLE,6,28,12,0.429,9.521,4,0.143,2965.0
Marc Wainberg,MWA,7,34,10,0.294,8.342,13,0.382,4115.0
Nicolas Harmand,NHA,14,65,38,0.585,6.577,43,0.662,6587.0
Nicolas Sekri,NSE,15,72,35,0.486,5.024,54,0.75,7874.0
Olivier Croisille,OCR,6,29,16,0.552,4.543,21,0.724,3009.0
Oscar Fuchs,OFU,6,28,11,0.393,5.513,15,0.536,2858.0
Patrice de Sainte Marie,PSM,3,13,10,0.769,8.996,5,0.385,1766.0
Paul Courtois,PCO,4,18,4,0.222,16.227,0,0.0,2401.0
Ralph Danielski,,1,5,4,0.8,6.656,1,0.2,626.0
Raphaël Ginoulhac,,2,9,4,0.444,6.998,3,0.333,1135.0
Sami Tamim,STA,14,65,36,0.554,10.291,18,0.277,7304.0
Sarah Partouche,SPA,12,55,15,0.273,14.625,1,0.018,5223.0
Simon Barget,SBA,1,5,2,0.4,5.782,4,0.8,478.0
Steeve Korn,SKO,8,39,20,0.513,7.857,22,0.564,4162.0
Stéphane Bénichou,SBE,2,10,1,0.1,7.789,5,0.5,1033.0
Tania Klimova,,1,5,4,0.8,7.066,0,0.0,509.0
Valentin Marotte,VMA,5,22,11,0.5,4.274,16,0.727,2424.0
Vincent Frilley,VFR,2,10,6,0.6,8.638,4,0.4,868.0
Vincent de Nardi,VDN,2,9,3,0.333,6.31,5,0.556,992.0
Wil Benotmane,WBE,6,29,13,0.448,8.862,9,0.31,3112.0
Wilfried Benotmane,,1,5,2,0.4,9.698,2,0.4,650.0
Yurika Ueno,YUE,5,20,8,0.4,19.16,2,0.1,2252.0
