TournamentDate,PlayerName,PlayerCode,MatchesPlayed,Wins,WinRate,AvgPR,BetterPRCount,BetterPRRate,TotalDecisions,AvgEquity
2023-07-02,Anthony Korn,AKO,5,1,0.2,8.466,4,0.8,616.0,2.138
2023-07-02,Arthur Menez,AME,5,2,0.4,6.976,3,0.6,610.0,1.645
2023-07-02,David Freidenberg,DFR,5,0,0.0,8.706,1,0.2,559.0,2.052
2023-07-02,Gildas Bouilland,KUB,5,3,0.6,7.458,1,0.2,479.0,1.342
2023-07-02,Greg Boghossian,GBO,5,4,0.8,9.566,3,0.6,615.0,2.368
2023-07-02,Géo Menez,GME,5,2,0.4,5.392,4,0.8,465.0,1.092
2023-07-02,Ibrahima Guillard,IGU,5,4,0.8,6.678,2,0.4,395.0,1.036
2023-07-02,James MacNaughtan,JMA,5,5,1.0,5.142,4,0.8,508.0,1.104
2023-07-02,Katalin Krajnyak,KKR,5,2,0.4,12.006,1,0.2,555.0,2.747
2023-07-02,Nicolas Sekri,NSE,5,1,0.2,6.282,3,0.6,499.0,1.304
2023-07-02,Steeve Korn,SKO,5,3,0.6,6.812,2,0.4,718.0,1.934
2023-07-02,Wil Benotmane,WBE,5,3,0.6,8.726,2,0.4,626.0,2.03
2023-10-15,Anthony Korn,AKO,5,3,0.6,5.616,5,1.0,573.0,1.29
2023-10-15,Arthur Menez,AME,5,3,0.6,8.222,3,0.6,498.0,1.609
2023-10-15,David Freidenberg,DFR,5,4,0.8,8.444,2,0.4,478.0,1.654
2023-10-15,Eric Bénichou,EBE,5,1,0.2,5.532,4,0.8,408.0,0.894
2023-10-15,François Tissot,FTI,5,3,0.6,7.624,3,0.6,538.0,1.617
2023-10-15,Géo Menez,GME,5,3,0.6,6.228,3,0.6,548.0,1.503
2023-10-15,James MacNaughtan,JMA,5,3,0.6,6.366,3,0.6,467.0,1.28
2023-10-15,Kévin Unger,KUN,5,4,0.8,6.022,4,0.8,418.0,0.899
2023-10-15,Marc Le Campion,MLE,5,1,0.2,9.468,1,0.2,559.0,2.05
2023-10-15,Nicolas Harmand,NHA,5,3,0.6,10.414,0,0.0,443.0,1.782
2023-10-15,Nicolas Sekri,NSE,5,3,0.6,6.642,2,0.4,505.0,1.388
2023-10-15,Sarah Partouche,SPA,5,1,0.2,19.258,0,0.0,400.0,3.115
2023-10-15,Steeve Korn,SKO,5,1,0.2,12.17,2,0.4,520.0,2.517
2023-10-15,Wil Benotmane,WBE,5,2,0.4,7.934,3,0.6,405.0,1.27
2023-12-17,Anthony Korn,AKO,5,1,0.2,8.628,2,0.4,509.0,1.735
2023-12-17,David Freidenberg,DFR,5,5,1.0,9.246,2,0.4,502.0,1.726
2023-12-17,Eric Guedj,EGU,5,4,0.8,4.6,5,1.0,445.0,0.802
2023-12-17,Géo Menez,GME,5,3,0.6,5.998,2,0.4,631.0,1.494
2023-12-17,James MacNaughtan,JMA,5,3,0.6,7.432,3,0.6,561.0,1.604
2023-12-17,Kamel Guerbaa,KGU,5,2,0.4,9.404,1,0.2,435.0,1.747
2023-12-17,Kévin Unger,KUN,5,1,0.2,6.658,4,0.8,449.0,1.138
2023-12-17,Nicolas Harmand,NHA,5,3,0.6,7.558,3,0.6,440.0,1.335
2023-12-17,Nicolas Sekri,NSE,5,3,0.6,6.73,3,0.6,536.0,1.36
2023-12-17,Sarah Partouche,SPA,5,1,0.2,18.71,0,0.0,436.0,3.12
2023-12-17,Steeve Korn,SKO,5,2,0.4,7.692,3,0.6,524.0,1.674
2023-12-17,Wilfried Benotmane,,5,2,0.4,9.698,2,0.4,650.0,2.568
2024-02-04,Anthony Korn,AKO,5,3,0.6,5.502,2,0.4,541.0,1.224
2024-02-04,Arthur Menez,AME,5,1,0.2,7.64,0,0.0,400.0,1.208
2024-02-04,Eric Bénichou,EBE,5,4,0.8,2.788,5,1.0,434.0,0.465
2024-02-04,François Tissot,FTI,5,4,0.8,4.87,5,1.0,629.0,1.257
2024-02-04,Gildas Bouilland,KUB,5,2,0.4,6.42,3,0.6,644.0,1.727
2024-02-04,Géo Menez,GME,5,3,0.6,6.276,4,0.8,430.0,1.061
2024-02-04,Ibrahima Guillard,IGU,5,2,0.4,9.558,2,0.4,491.0,1.867
2024-02-04,James MacNaughtan,JMA,5,2,0.4,5.604,3,0.6,431.0,0.964
2024-02-04,Kamel Guerbaa,KGU,5,4,0.8,7.198,1,0.2,649.0,1.956
2024-02-04,Kévin Unger,KUN,5,3,0.6,8.376,4,0.8,580.0,1.83
2024-02-04,Nicolas Harmand,NHA,5,3,0.6,8.01,3,0.6,620.0,1.969
2024-02-04,Nicolas Sekri,NSE,5,2,0.4,6.544,3,0.6,533.0,1.349
2024-02-04,Sami Tamim,STA,5,1,0.2,10.79,0,0.0,591.0,2.561
2024-02-04,Sarah Partouche,SPA,5,1,0.2,12.296,0,0.0,430.0,2.163
2024-03-10,Anthony Korn,AKO,5,2,0.4,5.824,3,0.6,502.0,1.201
2024-03-10,Arthur Menez,AME,5,2,0.4,8.026,1,0.2,555.0,1.806
2024-03-10,Gildas Bouilland,KUB,5,2,0.4,8.312,3,0.6,616.0,2.089
2024-03-10,Géo Menez,GME,5,4,0.8,6.526,3,0.6,379.0,0.961
2024-03-10,James MacNaughtan,JMA,5,3,0.6,6.444,4,0.8,420.0,1.069
2024-03-10,Kamel Guerbaa,KGU,5,2,0.4,12.76,1,0.2,552.0,2.73
2024-03-10,Kévin Unger,KUN,5,3,0.6,7.518,2,0.4,529.0,1.715
2024-03-10,Nicolas Harmand,NHA,5,2,0.4,9.136,3,0.6,573.0,1.785
2024-03-10,Nicolas Sekri,NSE,5,1,0.2,3.252,4,0.8,437.0,0.538
2024-03-10,Sarah Partouche,SPA,5,2,0.4,15.82,0,0.0,562.0,3.434
2024-03-10,Simon Barget,SBA,5,2,0.4,5.782,4,0.8,478.0,0.895
2024-03-10,Steeve Korn,SKO,5,4,0.8,5.278,5,1.0,380.0,0.844
2024-03-10,Tania Klimova,,5,4,0.8,7.066,0,0.0,509.0,1.365
2024-03-10,Wil Benotmane,WBE,5,2,0.4,8.082,2,0.4,481.0,1.473
2024-05-05,Anthony Korn,AKO,5,4,0.8,7.158,3,0.6,432.0,1.24
2024-05-05,Csaba Daday,CDA,5,1,0.2,7.226,3,0.6,536.0,1.655
2024-05-05,Daniel Rozenberg,DRO,5,2,0.4,7.298,1,0.2,654.0,1.753
2024-05-05,Eric Guedj,EGU,5,3,0.6,4.02,5,1.0,473.0,0.766
2024-05-05,Franck Touboul,FTO,5,5,1.0,10.068,1,0.2,573.0,2.125
2024-05-05,James MacNaughtan,JMA,5,2,0.4,7.038,4,0.8,543.0,1.5
2024-05-05,Kamel Guerbaa,KGU,5,2,0.4,8.556,2,0.4,492.0,1.671
2024-05-05,Kévin Unger,KUN,5,2,0.4,7.14,5,1.0,641.0,1.772
2024-05-05,Marc Wainberg,MWA,5,2,0.4,9.294,1,0.2,572.0,2.089
2024-05-05,Nicolas Harmand,NHA,5,1,0.2,6.548,4,0.8,480.0,1.262
2024-05-05,Nicolas Sekri,NSE,5,3,0.6,6.768,4,0.8,639.0,1.661
2024-05-05,Sami Tamim,STA,5,2,0.4,14.548,2,0.4,519.0,2.947
2024-05-05,Sarah Partouche,SPA,5,2,0.4,13.816,0,0.0,450.0,2.471
2024-05-05,Steeve Korn,SKO,5,3,0.6,8.478,2,0.4,588.0,1.68
2024-05-05,Valentin Marotte,VMA,5,3,0.6,6.354,3,0.6,705.0,1.68
2024-05-05,Wil Benotmane,WBE,5,3,0.6,9.978,0,0.0,514.0,1.971
2024-07-07,Anthony Korn,AKO,5,2,0.4,8.208,1,0.2,471.0,1.566
2024-07-07,Antoine Blond,,5,4,0.8,6.018,3,0.6,554.0,1.315
2024-07-07,Csaba Daday,CDA,5,2,0.4,7.642,3,0.6,481.0,1.478
2024-07-07,David Freidenberg,DFR,5,2,0.4,8.912,3,0.6,474.0,1.637
2024-07-07,Eric Maillebiau,,5,3,0.6,4.96,3,0.6,440.0,0.838
2024-07-07,Gildas Bouilland,KUB,5,5,1.0,6.892,5,1.0,578.0,1.631
2024-07-07,Ibrahima Guillard,IGU,5,4,0.8,7.308,4,0.8,596.0,1.814
2024-07-07,James MacNaughtan,JMA,5,1,0.2,5.04,5,1.0,475.0,1.04
2024-07-07,Kamel Guerbaa,KGU,5,3,0.6,10.156,0,0.0,625.0,2.312
2024-07-07,Marc Wainberg,MWA,5,1,0.2,10.03,2,0.4,538.0,2.183
2024-07-07,Nicolas Sekri,NSE,5,1,0.2,3.834,5,1.0,567.0,0.861
2024-07-07,Sami Tamim,STA,5,3,0.6,10.956,1,0.2,530.0,2.398
2024-07-07,Sarah Partouche,SPA,5,3,0.6,11.772,0,0.0,488.0,2.501
2024-07-07,Steeve Korn,SKO,5,1,0.2,8.232,3,0.6,403.0,1.365
2024-07-07,Vincent Frilley,VFR,5,3,0.6,10.584,2,0.4,391.0,1.535
2024-07-07,Wil Benotmane,WBE,5,2,0.4,9.716,0,0.0,537.0,1.963
2024-09-29,Anthony Korn,AKO,5,2,0.4,6.914,3,0.6,554.0,1.68
2024-09-29,Csaba Daday,CDA,5,3,0.6,8.874,4,0.8,520.0,2.019
2024-09-29,Daniel Rozenberg,DRO,5,4,0.8,7.62,5,1.0,530.0,1.52
2024-09-29,Elias Baltassis,EBA,5,2,0.4,13.712,1,0.2,670.0,3.716
2024-09-29,Eric Bénichou,EBE,5,3,0.6,4.3,4,0.8,567.0,0.971
2024-09-29,Eric Guedj,EGU,5,4,0.8,4.58,3,0.6,627.0,1.127
2024-09-29,Franck Touboul,FTO,5,4,0.8,14.312,0,0.0,557.0,3.043
2024-09-29,Kamel Guerbaa,KGU,5,2,0.4,12.362,2,0.4,467.0,1.989
2024-09-29,Kévin Unger,KUN,5,3,0.6,6.636,3,0.6,625.0,1.735
2024-09-29,Marc Le Campion,MLE,5,1,0.2,9.338,0,0.0,493.0,1.826
2024-09-29,Marc Wainberg,MWA,5,1,0.2,8.076,2,0.4,628.0,1.985
2024-09-29,Nicolas Harmand,NHA,5,4,0.8,5.484,5,1.0,430.0,0.997
2024-09-29,Nicolas Sekri,NSE,5,2,0.4,6.426,3,0.6,632.0,1.575
2024-09-29,Olivier Croisille,OCR,5,3,0.6,5.058,3,0.6,563.0,1.132
2024-09-29,Sami Tamim,STA,5,2,0.4,10.162,2,0.4,653.0,2.655
2024-09-29,Sarah Partouche,SPA,5,0,0.0,17.532,0,0.0,339.0,2.118
2024-11-17,Elias Baltassis,EBA,5,1,0.2,13.824,0,0.0,641.0,3.55
2024-11-17,Eric Bénichou,EBE,5,5,1.0,4.502,4,0.8,510.0,0.916
2024-11-17,Gildas Bouilland,KUB,5,4,0.8,6.956,4,0.8,723.0,2.001
2024-11-17,James MacNaughtan,JMA,5,4,0.8,4.82,5,1.0,477.0,0.928
2024-11-17,Kévin Unger,KUN,5,3,0.6,7.518,4,0.8,660.0,2.002
2024-11-17,Marc Le Campion,MLE,5,3,0.6,12.37,0,0.0,446.0,2.174
2024-11-17,Nicolas Harmand,NHA,5,3,0.6,7.066,3,0.6,547.0,1.467
2024-11-17,Nicolas Sekri,NSE,5,2,0.4,4.836,3,0.6,584.0,1.155
2024-11-17,Olivier Croisille,OCR,5,3,0.6,4.846,4,0.8,607.0,1.154
2024-11-17,Oscar Fuchs,OFU,5,0,0.0,6.144,3,0.6,591.0,1.437
2024-11-17,Paul Courtois,PCO,5,1,0.2,23.978,0,0.0,702.0,6.697
2024-11-17,Sami Tamim,STA,5,1,0.2,11.816,0,0.0,554.0,2.837
2025-02-09,Anthony Korn,AKO,5,4,0.8,4.942,4,0.8,439.0,0.924
2025-02-09,Csaba Daday,CDA,5,1,0.2,8.49,3,0.6,442.0,1.521
2025-02-09,Daniel Rozenberg,DRO,5,3,0.6,4.938,3,0.6,463.0,0.905
2025-02-09,Elias Baltassis,EBA,5,0,0.0,15.152,0,0.0,453.0,3.242
2025-02-09,Gildas Bouilland,KUB,5,2,0.4,6.225,2,0.4,525.0,1.565
2025-02-09,James MacNaughtan,JMA,5,3,0.6,5.256,2,0.4,305.0,0.602
2025-02-09,Kamel Guerbaa,KGU,5,3,0.6,6.532,3,0.6,551.0,1.292
2025-02-09,Louis Schirvanian,LSC,5,1,0.2,13.052,0,0.0,462.0,2.631
2025-02-09,Marc Wainberg,MWA,5,2,0.4,7.462,1,0.2,532.0,1.636
2025-02-09,Nicolas Harmand,NHA,5,3,0.6,5.594,3,0.6,329.0,0.8
2025-02-09,Nicolas Sekri,NSE,5,4,0.8,4.022,5,1.0,428.0,0.672
2025-02-09,Olivier Croisille,OCR,5,2,0.4,4.142,5,1.0,550.0,0.903
2025-02-09,Sami Tamim,STA,5,4,0.8,8.24,3,0.6,537.0,1.779
2025-02-09,Sarah Partouche,SPA,5,2,0.4,13.316,0,0.0,375.0,1.978
2025-03-09,Alain Babillon,ABA,5,1,0.2,5.432,2,0.4,584.0,1.239
2025-03-09,Anthony Korn,AKO,5,4,0.8,6.252,3,0.6,505.0,1.117
2025-03-09,Csaba Daday,CDA,5,5,1.0,6.456,3,0.6,605.0,1.536
2025-03-09,Daniel Rozenberg,DRO,5,5,1.0,6.29,2,0.4,492.0,1.215
2025-03-09,Eric Bénichou,EBE,5,3,0.6,4.644,5,1.0,588.0,1.107
2025-03-09,Gildas Bouilland,KUB,5,1,0.2,8.648,2,0.4,555.0,1.837
2025-03-09,James MacNaughtan,JMA,5,4,0.8,3.744,5,1.0,557.0,0.82
2025-03-09,Julien Camurat,JCA,5,0,0.0,13.896,1,0.2,443.0,2.322
2025-03-09,Kamel Guerbaa,KGU,5,2,0.4,10.068,2,0.4,666.0,2.632
2025-03-09,Marc Le Campion,MLE,5,3,0.6,8.582,1,0.2,556.0,1.969
2025-03-09,Marc Wainberg,MWA,5,1,0.2,5.618,3,0.6,528.0,1.186
2025-03-09,Nicolas Harmand,NHA,5,2,0.4,3.73,4,0.8,541.0,0.886
2025-03-09,Nicolas Sekri,NSE,5,4,0.8,4.298,5,1.0,482.0,0.828
2025-03-09,Olivier Croisille,OCR,5,1,0.2,4.732,2,0.4,452.0,0.9
2025-03-09,Oscar Fuchs,OFU,5,2,0.4,4.468,2,0.4,494.0,0.839
